UEIdx,lambdaBS,lambdaUE,numBlockers,deployRange,discoveryDelay,failureDetectionDelay,connectionSetupDelay,signalingAfterRachDelay,frameHopCount,frameDeliveryDelay,minRatereq,powerFac,lower_bound_thresh,GroupCount,mean_meanOutageDuration_wo_CF,std_meanOutageDuration_wo_CF,median_meanOutageDuration_wo_CF,mean_outageProbability_wo_CF,std_outageProbability_wo_CF,median_outageProbability_wo_CF,mean_meanOutageDuration,std_meanOutageDuration,median_meanOutageDuration,mean_outageProbability,std_outageProbability,median_outageProbability
1,25,250,314,400,0.02,0,0.05,0,0,0,400000000,10,0.1,62,0.109705478110357,0.136658535136406,0.07,0.0015230407864276,0.00575550573611727,1.94444444444e-05,0.063326162126613,0.0205579272794694,0.07,1.94444746413145e-05,1.04534233288664e-10,1.94444444444e-05
2,25,250,314,400,0.02,0,0.05,0,0,0,400000000,10,0.1,62,0.102703606497361,0.126018203708523,0.07,0.00174252923551737,0.00632232070492945,1.94444444444e-05,0.0621549361278701,0.0221697565108642,0.07,1.94444901877758e-05,1.34227441419269e-10,1.94444444444e-05
3,25,250,314,400,0.02,0,0.05,0,0,0,400000000,10,0.1,62,0.085639752327762,0.086376963327369,0.07,0.000347544339136215,0.00191680250930898,1.94444444444e-05,0.0677807371679145,0.0122548742681207,0.07,1.94444503135323e-05,3.44971348425662e-11,1.94444444444e-05
4,25,250,314,400,0.02,0,0.05,0,0,0,400000000,10,0.1,62,0.128333632055274,0.165454764127417,0.07,0.00226645474921804,0.0069170995630161,1.94444444444e-05,0.0610591863202057,0.0234189143652279,0.07,1.94444879028645e-05,1.25006770300634e-10,1.94444444444e-05
5,25,250,314,400,0.02,0,0.05,0,0,0,400000000,10,0.1,62,0.08655262698819,0.0924560516882189,0.07,0.000559230354885559,0.00329056433116419,1.94444444444e-05,0.06556811010374,0.0170170544361089,0.07,1.94444634406726e-05,8.47761524828836e-11,1.94444444444e-05
6,25,250,314,400,0.02,0,0.05,0,0,0,400000000,10,0.1,62,0.0945601146498514,0.110653320293192,0.07,0.00109651061881887,0.00546336014347574,1.94444444444e-05,0.0666514566417737,0.0149715702513212,0.07,1.94444622758081e-05,8.96273343560734e-11,1.94444444444e-05
7,25,250,314,400,0.02,0,0.05,0,0,0,400000000,10,0.1,62,0.111569489668307,0.143422961556796,0.07,0.00146697381854778,0.00513627762801125,1.94444444444e-05,0.0632985994140687,0.0206407494609569,0.07,1.94444758509952e-05,1.04425450203538e-10,1.94444444444e-05
