UEIdx,lambdaBS,lambdaUE,numBlockers,discoveryDelay,failureDetectionDelay,connectionSetupDelay,signalingAfterRachDelay,frameHopCount,frameDeliveryDelay,minRatereq,powerFac,lower_bound_thresh,GroupCount,mean_meanOutageDuration_wo_CF,std_meanOutageDuration_wo_CF,mean_outageProbability_wo_CF,std_outageProbability_wo_CF,mean_meanOutageDuration,std_meanOutageDuration,mean_outageProbability,std_outageProbability
1,25,150,4000,0.02,0,0.05,0,0,0,1,100,0,100,0,0,0.210493895851717,0.0720874153092615,0,0,0.7622579237959,0.168032357882589
1,25,150,4000,0.02,0,0.05,0,0,0,10,100,0,100,0,0,0.210493895851717,0.0720874153092615,0,0,0.7622579237959,0.168032357882589
1,25,150,4000,0.02,0,0.05,0,0,0,100,100,0,100,0.116822883221477,0.110230256142774,0.210493895851717,0.0720874153092615,0.429818605567078,0.366471952232249,0.7622579237959,0.168032357882589
1,25,150,4000,0.02,0,0.05,0,0,0,1000,100,0,100,0.228081331058487,0.20923687491071,0.210493895851717,0.0720874153092615,0.821731997465993,0.700516853857509,0.7622579237959,0.168032357882589
1,25,150,4000,0.02,0,0.05,0,0,0,10000,100,0,100,0.229756428145653,0.208062486108729,0.210493895851717,0.0720874153092615,0.829185754618978,0.695650147370397,0.7622579237959,0.168032357882589
1,25,150,4000,0.02,0,0.05,0,0,0,100000,100,0,100,0.229756428145653,0.208062486108729,0.210493895851717,0.0720874153092615,0.829185754618978,0.695650147370397,0.7622579237959,0.168032357882589
1,25,150,4000,0.02,0,0.05,0,0,0,1000000,100,0,100,0.229756428145653,0.208062486108729,0.210493895851717,0.0720874153092615,0.829185754618978,0.695650147370397,0.7622579237959,0.168032357882589
1,25,150,4000,0.02,0,0.05,0,0,0,10000000,100,0,100,0.229756428145653,0.208062486108729,0.210493895851717,0.0720874153092615,0.829185754618978,0.695650147370397,0.7622579237959,0.168032357882589
1,25,150,4000,0.02,0,0.05,0,0,0,100000000,100,0,100,0.229756428145653,0.208062486108729,0.210493895851717,0.0720874153092615,0.829185754618978,0.695650147370397,0.7622579237959,0.168032357882589
1,25,150,4000,0.02,0,0.05,0,0,0,1000000000,100,0,100,0.229756428145653,0.208062486108729,0.210493895851717,0.0720874153092615,0.829185754618978,0.695650147370397,0.7622579237959,0.168032357882589
1,25,150,4000,0.02,0,0.05,0,0,0,10000000000,100,0,100,0.229756428145653,0.208062486108729,0.210493895851717,0.0720874153092615,0.829185754618978,0.695650147370397,0.7622579237959,0.168032357882589
