UEIdx,numBS,numBlockers,discoveryDelay,failureDetectionDelay,connectionSetupDelay,signalingAfterRachDelay,frameHopCount,frameDeliveryDelay,minRatereq,outageProbability_wo_CF_Analysis,outageProbabilityAnalysis,meanOutageDuration_wo_CF,outageProbability_wo_CF,GroupCount,mean_meanOutageDuration,std_meanOutageDuration,mean_outageProbability,std_outageProbability
1,1,4000,0.02,0,0.01,0,0,0,100000000,0.0359076538734929,0,0.522260729103762,0.0349624543650019,1,0.0001244912862316,0,8.333999995e-06,0
1,1,4000,0.02,0,0.01,0,0,0,100000000,0.0541297257007116,0,0.562025542993802,0.0558903178866058,1,8.3808854674e-05,0,8.3343249926e-06,0
1,1,4000,0.02,0,0.01,0,0,0,100000000,0.173130448224514,0.173130448224514,0.586422441974859,0.187818076554726,1,0.55799413357394,0,0.178713121114098,0
1,1,4000,0.02,0,0.01,0,0,0,100000000,0.177318236239447,0.177318236239447,0.603870142720448,0.192567478845299,1,0.30386451866166,0,0.0968990187287739,0
1,1,4000,0.02,0,0.01,0,0,0,100000000,0.17897073263877,0.17897073263877,0.622692861078569,0.204969733438362,1,0.343163707064826,0,0.112958053575505,0
1,1,4000,0.02,0,0.01,0,0,0,100000000,0.187721516654966,0.187721516654966,0.616128065987546,0.212906476135696,1,0.615900198905671,0,0.212827735399626,0
1,1,4000,0.02,0,0.01,0,0,0,100000000,0.195521758294171,0.19552175829417,0.625760251524602,0.217277865112709,1,0.625760251524602,0,0.217277865112709,0
1,1,4000,0.02,0,0.01,0,0,0,100000000,0.195610183378713,0.195610183378713,0.595848999433612,0.21798142562613,1,0.555334985536408,0,0.203160048875403,0
1,1,4000,0.02,0,0.01,0,0,0,100000000,0.214705091687624,0.214705091687624,0.634510109596173,0.249221470824719,1,0.634510109596173,0,0.249221470824719,0
1,1,4000,0.02,0,0.01,0,0,0,100000000,0.215673663136832,0.215673663136832,0.588463730204403,0.225250838950463,1,0.588463730204403,0,0.225250838950463,0
1,1,4000,0.02,0,0.01,0,0,0,100000000,0.216692628276741,0.216692628276741,0.596202205706319,0.240302611244408,1,0.453363137253315,0,0.182730531154045,0
1,1,4000,0.02,0,0.01,0,0,0,100000000,0.228533308791657,0.228533308791657,0.59792365296482,0.249134855402008,1,0.441256395651268,0,0.183856831521362,0
1,1,4000,0.02,0,0.01,0,0,0,100000000,0.233782417867936,0.233782417867936,0.617759143348675,0.253452848534998,1,0.57202545416934,0,0.234689332168921,0
1,1,4000,0.02,0,0.01,0,0,0,100000000,0.248604385371392,0.248604385371392,0.64672630539275,0.29264365319022,1,0.64672630539275,0,0.29264365319022,0
1,1,4000,0.02,0,0.01,0,0,0,100000000,0.254931444846657,0.254931444846657,0.638848703145363,0.289611412092565,1,0.353408326977016,0,0.160211774896247,0
1,1,4000,0.02,0,0.01,0,0,0,100000000,0.256808082074373,0.256808082074373,0.624560434063743,0.288512222735557,1,0.624560434063743,0,0.288512222735557,0
1,1,4000,0.02,0,0.01,0,0,0,100000000,0.268670131539429,0,0.642610236499886,0.313629495980639,1,0.0244111019237311,0,0.0119139739111099,0
1,1,4000,0.02,0,0.02,0,0,0,100000000,0.0365837407156398,0,0.531981150702163,0.0356131825886726,1,0.0001659850621653,0,1.11117777727e-05,0
1,1,4000,0.02,0,0.02,0,0,0,100000000,0.0551477654147737,0,0.571767091252908,0.0568590607412614,1,0.0001117418155679,0,1.11121027704e-05,0
1,1,4000,0.02,0,0.02,0,0,0,100000000,0.176359084232678,0.176359084232678,0.59720609638446,0.190940060260698,1,0.569391580202123,0,0.182047141336845,0
1,1,4000,0.02,0,0.02,0,0,0,100000000,0.180623840076225,0.180623840076225,0.615696801179453,0.195654761263693,1,0.327379012598823,0,0.104033775114737,0
1,1,4000,0.02,0,0.02,0,0,0,100000000,0.182306690269242,0.182306690269242,0.634045951917629,0.208178420879622,1,0.333106300457106,0,0.109369901983417,0
1,1,4000,0.02,0,0.02,0,0,0,100000000,0.191218043597163,0.191218043597163,0.630336515562114,0.216240443533114,1,0.628613443622009,0,0.215649334131439,0
1,1,4000,0.02,0,0.02,0,0,0,100000000,0.199161168234395,0.199161168234395,0.638972738577888,0.220623087236754,1,0.637775368081262,0,0.220209661812502,0
1,1,4000,0.02,0,0.02,0,0,0,100000000,0.199251211721583,0.199251211721583,0.608395926265853,0.221557516481815,1,0.563147123790128,0,0.205079410913572,0
1,1,4000,0.02,0,0.02,0,0,0,100000000,0.218694875203563,0.218694875203563,0.646554941317798,0.253054420087994,1,0.646554941317798,0,0.253054420087994,0
1,1,4000,0.02,0,0.02,0,0,0,100000000,0.219681097292886,0.219681097292886,0.600391640343069,0.22898270060862,1,0.600391640343069,0,0.22898270060862,0
1,1,4000,0.02,0,0.02,0,0,0,100000000,0.220718627182195,0.220718627182195,0.608006304539536,0.244215865656713,1,0.463595206924511,0,0.186210741448012,0
1,1,4000,0.02,0,0.02,0,0,0,100000000,0.232774712079316,0.232774712079316,0.609199596637999,0.253156276825124,1,0.425708261257243,0,0.176905433011343,0
1,1,4000,0.02,0,0.02,0,0,0,100000000,0.238119117605431,0.238119117605431,0.63178999544349,0.257454423143222,1,0.590006584394661,0,0.240427683140824,0
1,1,4000,0.02,0,0.02,0,0,0,100000000,0.253209503603711,0.253209503603711,0.660521777435093,0.297051321574282,1,0.660521777435093,0,0.297051321574282,0
1,1,4000,0.02,0,0.02,0,0,0,100000000,0.259650831291975,0.259650831291975,0.654543201819932,0.293998988150786,1,0.364228950180099,0,0.163599503455894,0
1,1,4000,0.02,0,0.02,0,0,0,100000000,0.261561324156063,0.261561324156063,0.638474475146634,0.292988842483956,1,0.638474475146634,0,0.292988842483956,0
1,1,4000,0.02,0,0.02,0,0,0,100000000,0.273636971705677,0,0.657512095963125,0.31834543979548,1,0.025486760934838,0,0.0123398400859507,0
1,1,4000,0.02,0,0.05,0,0,0,100000000,0.0386063237718147,0,0.561981150702242,0.0376215159220112,1,0.000290466389966,0,1.94451111061e-05,0
1,1,4000,0.02,0,0.05,0,0,0,100000000,0.0581887782880108,0,0.605099743231565,0.0598376412751214,1,0.0013482206094183,0,0.0001333240380425,0
1,1,4000,0.02,0,0.05,0,0,0,100000000,0.185895463514977,0.185895463514977,0.636926432673912,0.200454902283206,1,0.602230682032108,0,0.189535378539549,0
1,1,4000,0.02,0,0.05,0,0,0,100000000,0.190383163687105,0.190383163687105,0.652355894263109,0.205129686751622,1,0.356878865005974,0,0.112218576440767,0
1,1,4000,0.02,0,0.05,0,0,0,100000000,0.192153868345374,0.192153868345374,0.671220727634909,0.217960286279225,1,0.377088590165206,0,0.122449044973091,0
1,1,4000,0.02,0,0.05,0,0,0,100000000,0.201529313652738,0.201529313652738,0.669325759127786,0.226455215171567,1,0.668978508005031,0,0.226337728541702,0
1,1,4000,0.02,0,0.05,0,0,0,100000000,0.20988446998988,0.20988446998988,0.679685264411225,0.23090418843748,1,0.678201343899718,0,0.23040006766371,0
1,1,4000,0.02,0,0.05,0,0,0,100000000,0.209979175284065,0.209979175284065,0.64854820483913,0.232396440067355,1,0.606430914960662,0,0.217304411194237,0
1,1,4000,0.02,0,0.05,0,0,0,100000000,0.230424630826703,0.230424630826703,0.687008655806209,0.264689168223114,1,0.686455195157864,0,0.264475932134432,0
1,1,4000,0.02,0,0.05,0,0,0,100000000,0.231461402308348,0.231461402308348,0.639004292655193,0.240336614515314,1,0.639004292655193,0,0.240336614515314,0
1,1,4000,0.02,0,0.05,0,0,0,100000000,0.232552083309856,0.232552083309856,0.650284448824996,0.256139819009401,1,0.500142572191289,0,0.197000602046458,0
1,1,4000,0.02,0,0.05,0,0,0,100000000,0.245223639454462,0.245223639454462,0.646805721799948,0.26554968245009,1,0.476018736676508,0,0.195432136891077,0
1,1,4000,0.02,0,0.05,0,0,0,100000000,0.25083959212829,0.25083959212829,0.674839539959422,0.269560905128236,1,0.618760654966945,0,0.247160506067352,0
1,1,4000,0.02,0,0.05,0,0,0,100000000,0.266692289404763,0.266692289404763,0.704064059107211,0.310374906056429,1,0.701629922772899,0,0.309301857622386,0
1,1,4000,0.02,0,0.05,0,0,0,100000000,0.273456959678618,0.273456959678618,0.697138851697552,0.307322043790004,1,0.385485291851528,0,0.169934766157882,0
1,1,4000,0.02,0,0.05,0,0,0,100000000,0.275463113725528,0.275463113725528,0.680527668372151,0.306615521694341,1,0.680527668372151,0,0.306615521694341,0
1,1,4000,0.02,0,0.05,0,0,0,100000000,0.288140786281926,0,0.70496913248087,0.332706265579166,1,0.0238360239438392,0,0.0112492790779397,0
1,1,4000,0.05,0,0.01,0,0,0,100000000,0.0378632310928017,0,0.552260729103841,0.0369707876983405,1,0.0002489726140325,0,1.66673333283e-05,0
1,1,4000,0.05,0,0.01,0,0,0,100000000,0.0570190278575275,0,0.593677591885412,0.05887302786197,1,0.0001680771988051,0,1.66676555482e-05,0
1,1,4000,0.05,0,0.01,0,0,0,100000000,0.181155583185645,0.181155583185645,0.624399307408705,0.197379558841974,1,0.586782094092341,0,0.185488339743634,0
1,1,4000,0.05,0,0.01,0,0,0,100000000,0.185493958862405,0.185493958862405,0.640967311821345,0.20208274969923,1,0.342576961156286,0,0.108006903031218,0
1,1,4000,0.05,0,0.01,0,0,0,100000000,0.187205316909753,0.187205316909753,0.658683885596968,0.214804133803011,1,0.348797083412776,0,0.113746604424055,0
1,1,4000,0.05,0,0.01,0,0,0,100000000,0.196262523639626,0.196262523639626,0.657456143938546,0.223169835525806,1,0.654372508001711,0,0.222123112438358,0
1,1,4000,0.05,0,0.01,0,0,0,100000000,0.204328424885109,0.204328424885109,0.665624375340126,0.22760655723436,1,0.664214010934848,0,0.227124290961333,0
1,1,4000,0.05,0,0.01,0,0,0,100000000,0.204419821170656,0.204419821170656,0.635773063085448,0.228878302710761,1,0.590313287857624,0,0.212512783628745,0
1,1,4000,0.05,0,0.01,0,0,0,100000000,0.224135177154913,0.224135177154913,0.675300677066587,0.260928678277673,1,0.675300677066587,0,0.260928678277673,0
1,1,4000,0.05,0,0.01,0,0,0,100000000,0.225134098574456,0.225134098574456,0.627388580609194,0.236664914574246,1,0.627388580609194,0,0.236664914574246,0
1,1,4000,0.05,0,0.01,0,0,0,100000000,0.226184876001906,0.226184876001906,0.638303374544866,0.252307139438151,1,0.485749483837083,0,0.192005976527825,0
