UEIdx,lambdaBS,lambdaUE,numBlockers,discoveryDelay,failureDetectionDelay,connectionSetupDelay,signalingAfterRachDelay,frameHopCount,frameDeliveryDelay,minRatereq,powerFac,lower_bound_thresh,GroupCount,mean_meanOutageDuration_wo_CF,std_meanOutageDuration_wo_CF,mean_outageProbability_wo_CF,std_outageProbability_wo_CF,mean_meanOutageDuration,std_meanOutageDuration,mean_outageProbability,std_outageProbability
1,25,250,400,0.02,0,0.05,0,0,0,400000000,1,0.1,98,0.419126789765092,0.255114461798631,0.0200122999146815,0.0149615400130227,0.00300134075732196,0.00162288990306642,0.000116667114115896,1.66535297840167e-10
1,25,500,400,0.02,0,0.05,0,0,0,400000000,1,0.1,98,0.413519448321616,0.251108231955,0.0191244933990654,0.0137668801644812,0.012421116576514,0.0754212411169848,0.000486731052703307,0.00290231885049301
1,25,750,400,0.02,0,0.05,0,0,0,400000000,1,0.1,99,0.406987271735142,0.248369840060556,0.0191884022983313,0.0141765523679037,0.0310118582798774,0.111978066258915,0.00143729844019802,0.00551802757800494
1,25,1000,400,0.02,0,0.05,0,0,0,400000000,1,0.1,98,0.383899249354095,0.228498759114064,0.01835928921001,0.013648769998274,0.0400219809752702,0.12251599431284,0.00195822585799864,0.00678920070647362
1,25,1500,400,0.02,0,0.05,0,0,0,400000000,1,0.1,98,0.397866494531164,0.236572303874124,0.0186788666207064,0.0138000113967515,0.32881453012356,0.258714716696418,0.0153409655136244,0.014413051241885
1,25,2000,400,0.02,0,0.05,0,0,0,400000000,1,0.1,98,0.409460526473509,0.245022277692858,0.0193985598630206,0.0144186480177762,0.40936776209503,0.245160057463374,0.0193934578222043,0.0144246153339763
