UEIdx,lambdaBS,lambdaUE,numBlockers,deployRange,discoveryDelay,failureDetectionDelay,connectionSetupDelay,signalingAfterRachDelay,frameHopCount,frameDeliveryDelay,minRatereq,powerFac,lower_bound_thresh,GroupCount,mean_meanOutageDuration_wo_CF,std_meanOutageDuration_wo_CF,median_meanOutageDuration_wo_CF,mean_outageProbability_wo_CF,std_outageProbability_wo_CF,median_outageProbability_wo_CF,mean_meanOutageDuration,std_meanOutageDuration,median_meanOutageDuration,mean_outageProbability,std_outageProbability,median_outageProbability
1,25,250,981,300,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.131173590244431,0.163640473826717,0.07,0.00359375838788027,0.00608306399781299,1.94444444444e-05,0.0392836670984454,0.0345597473726866,0.07,1.95849897848909e-05,1.39592389117003e-06,1.94444444444e-05
2,25,250,981,300,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.148002327715587,0.180222564026258,0.07,0.00537609977869791,0.00866265985481801,0.0041146010841414,0.0299557964010366,0.0345498132620083,0.0008750098749307,1.94447897000151e-05,3.49508992711409e-10,1.94446638873e-05
3,25,250,981,300,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.131174742998398,0.16587483944067,0.07,0.00306163556357732,0.00706705275295748,1.94444444444e-05,0.0470487605011915,0.0326700649253472,0.07,1.94446237079707e-05,3.0044294601773e-10,1.94444444444e-05
4,25,250,981,300,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.125960680531954,0.158953786548674,0.07,0.00436623388743053,0.00825323266580762,1.94444444444e-05,0.0397478390379021,0.0346995298047885,0.07,1.94447295994394e-05,3.55357173274084e-10,1.94444444444e-05
5,25,250,981,300,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.157097864601469,0.187318730688446,0.07,0.00521637169307871,0.00955643029161551,1.94444444444e-05,0.039109019925106,0.0347155326390273,0.07,1.94446977534333e-05,3.18826225888296e-10,1.94444444444e-05
6,25,250,981,300,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.113465730284657,0.137629116443441,0.07,0.00338537953994077,0.00610919146928283,1.94444444444e-05,0.040472480894568,0.0345741553077464,0.07,1.94447097062455e-05,3.40101802760015e-10,1.94444444444e-05
7,25,250,981,300,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.163468667166916,0.19456049339797,0.07,0.0054736368212467,0.00934365602421607,1.94444444444e-05,0.0387285704631518,0.0346037116254549,0.07,1.94447079385141e-05,3.40663006611158e-10,1.94444444444e-05
8,25,250,981,300,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.134914976912266,0.176254340802795,0.07,0.00273052957280409,0.00568207956729138,1.94444444444e-05,0.0469000043552203,0.0328380329786909,0.07,1.94446163847879e-05,2.92634603143174e-10,1.94444444444e-05
9,25,250,981,300,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.118758781659264,0.157243059433983,0.07,0.00398613507507659,0.00839020948172058,1.94444444444e-05,0.040588898190352,0.0344644759805736,0.07,1.94447184042263e-05,3.51279693227439e-10,1.94444444444e-05
10,25,250,981,300,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.147231121437322,0.186287397419874,0.07,0.00524905924107471,0.0093446077793191,1.94444444444e-05,0.0369694736454571,0.0349210501118712,0.07,1.95850283928657e-05,1.39595099440736e-06,1.94444444444e-05
11,25,250,981,300,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.141582173702632,0.177754090403039,0.07,0.00512122482800456,0.00836838328377629,0.0033956209020706,0.0341307582453079,0.0349757229264974,0.0010000098570758,1.94447698628939e-05,3.50651538609408e-10,1.94446361098e-05
12,25,250,981,300,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.150673770720006,0.18557929975167,0.07,0.00538721973470758,0.00924508416196126,1.94444444444e-05,0.0369824082952643,0.0349088189228056,0.07,1.94447489876354e-05,3.6929625962459e-10,1.94444444444e-05
13,25,250,981,300,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.144064714437703,0.174788279060445,0.07,0.00328730574066576,0.00575032079487748,1.94444444444e-05,0.0428970756996235,0.0338381949121193,0.07,1.95849343419485e-05,1.39595573857732e-06,1.94444444444e-05
14,25,250,981,300,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.153835902901343,0.192345974070062,0.07,0.00536943716905842,0.00987331352409198,1.94444444444e-05,0.0356655625235688,0.0348743490957236,0.07,2.09142979463525e-05,1.46220930118e-05,1.94444444444e-05
15,25,250,981,300,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.117568609184477,0.142744722278768,0.07,0.00370926346035912,0.00706768081075906,1.94444444444e-05,0.0425668086843152,0.0342001101239143,0.07,1.94447014009919e-05,3.50882040226801e-10,1.94444444444e-05
