UEIdx,lambdaBS,lambdaUE,numBlockers,powFactor,GroupCount,mean_rate_before_handoff,std_rate_before_handoff,mean_rate_after_handoff,std_rate_after_handoff,mean_rate_before_handoff_affected,std_rate_before_handoff_affected,mean_rate_after_handoff_affected,std_rate_after_handoff_affected,mean_rate_mmW,std_rate_mmW
1,25,150,400,1,13,183303544.658846,11523945.6337715,281002284.486622,17514156.7628749,149389438.27478,24929086.5380115,157135591.688487,44062771.1008166,801214278.831102,731491020.840905
1,25,150,400,10,12,182128973.983685,11194137.0099522,276723568.281858,15895139.2756579,148754110.427325,25927423.5257692,195425078.845921,54302818.3187939,843498661.770021,754390036.909755
1,25,150,400,100,12,183531163.73183,11776658.6604422,275878063.198676,16489171.3075779,199063230.969308,27546056.8694529,256621301.387496,59358598.643332,836265059.68121,753101566.306997
1,25,150,400,1000,12,179806622.399144,11649049.2478225,267629671.914802,16938070.7757486,246375398.019528,22417068.2860859,325543882.257673,58027310.0100512,810577910.95823,744713307.290139
1,25,150,400,10000,12,169079901.911995,10602323.2675112,242987926.161954,19105165.7396345,273622062.043461,17040419.6665693,371458360.046608,50575077.6384106,728238873.095469,694579557.795158
