UEIdx,lambdaBS,lambdaUE,numBlockers,deployRange,discoveryDelay,failureDetectionDelay,connectionSetupDelay,signalingAfterRachDelay,frameHopCount,frameDeliveryDelay,minRatereq,powerFac,lower_bound_thresh,GroupCount,mean_meanOutageDuration_wo_CF,std_meanOutageDuration_wo_CF,mean_outageProbability_wo_CF,std_outageProbability_wo_CF,mean_meanOutageDuration,std_meanOutageDuration,mean_outageProbability,std_outageProbability
1,25,1000,314,100,0.02,0,0.05,0,0,0,400000000,10,0.1,95,0.37021364381775,0.249691296404676,0.0131723791329118,0.0107758240058053,0.0309679484156496,0.10875555396698,0.00135687227903552,0.00531717120580515
2,25,1000,314,100,0.02,0,0.05,0,0,0,400000000,10,0.1,95,0.362222266972245,0.246199388430806,0.0141158290644706,0.0118648575932058,0.0341847075492016,0.121172923908766,0.00143855636380672,0.00574770832405819
3,25,1000,314,100,0.02,0,0.05,0,0,0,400000000,10,0.1,95,0.365570324626938,0.253205144635949,0.0144549820477792,0.0125769473035626,0.0305905114123947,0.111167684536153,0.0013132649280577,0.00524767135709758
4,25,1000,314,100,0.02,0,0.05,0,0,0,400000000,10,0.1,95,0.366519929313546,0.24311130089078,0.0149637203664079,0.0121165176995676,0.0320334087641141,0.118425878475157,0.00132472671641608,0.00550624558298351
5,25,1000,314,100,0.02,0,0.05,0,0,0,400000000,10,0.1,95,0.373340368325174,0.247641070939466,0.014656021564602,0.0118904154801506,0.0358561045230332,0.132909931667683,0.00115774922496086,0.00468796491527454
6,25,1000,314,100,0.02,0,0.05,0,0,0,400000000,10,0.1,95,0.371944141735428,0.255873631094086,0.0137990838392829,0.012482691481494,0.0401631600529118,0.147520507920537,0.00184823891231282,0.00769612167020024
