UEIdx,lambdaBS,lambdaUE,numBlockers,deployRange,discoveryDelay,failureDetectionDelay,connectionSetupDelay,signalingAfterRachDelay,frameHopCount,frameDeliveryDelay,minRatereq,powerFac,lower_bound_thresh,GroupCount,mean_meanOutageDuration_wo_CF,std_meanOutageDuration_wo_CF,median_meanOutageDuration_wo_CF,mean_outageProbability_wo_CF,std_outageProbability_wo_CF,median_outageProbability_wo_CF,mean_meanOutageDuration,std_meanOutageDuration,median_meanOutageDuration,mean_outageProbability,std_outageProbability,median_outageProbability
1,36,1000,628,300,0.02,0,0.05,0,0,0,400000000,10,0.1,60,0.152614705,0.188822724,0.07,0.002517339,0.005804726,1.94E-05,0.150215942,0.183372485,0.07,0.002458782,0.005684195,1.94E-05
2,36,1000,628,300,0.02,0,0.05,0,0,0,400000000,10,0.1,60,0.143790223,0.178892155,0.07,0.002266322,0.004784754,1.94E-05,0.1406489,0.171948024,0.07,0.002193396,0.004626154,1.94E-05
3,36,1000,628,300,0.02,0,0.05,0,0,0,400000000,10,0.1,60,0.170150291,0.203959057,0.07,0.002375343,0.004972563,1.94E-05,0.155719226,0.188413787,0.07,0.001993877,0.004347903,1.94E-05
4,36,1000,628,300,0.02,0,0.05,0,0,0,400000000,10,0.1,60,0.140707562,0.172739035,0.07,0.002479474,0.003925615,1.94E-05,0.130357414,0.156170923,0.07,0.002287039,0.003685846,1.94E-05
5,36,1000,628,300,0.02,0,0.05,0,0,0,400000000,10,0.1,60,0.127607722,0.16186689,0.07,0.002350262,0.005450874,1.94E-05,0.116402261,0.148133031,0.07,0.002034931,0.005004747,1.94E-05
6,36,1000,628,300,0.02,0,0.05,0,0,0,400000000,10,0.1,60,0.148782617,0.180357073,0.07,0.002219551,0.004282798,1.94E-05,0.139894508,0.173559489,0.07,0.002042541,0.004122651,1.94E-05
7,36,1000,628,300,0.02,0,0.05,0,0,0,400000000,10,0.1,60,0.181045482,0.214750731,0.07,0.003596955,0.006296655,1.94E-05,0.176602496,0.207131009,0.07,0.003495635,0.006153482,1.94E-05
8,36,1000,628,300,0.02,0,0.05,0,0,0,400000000,10,0.1,60,0.16014847,0.194843577,0.07,0.002265177,0.005382471,1.94E-05,0.149423385,0.177311012,0.07,0.002051088,0.005054168,1.94E-05
9,36,1000,628,300,0.02,0,0.05,0,0,0,400000000,10,0.1,60,0.175623856,0.205149491,0.07,0.002522387,0.004735315,1.94E-05,0.164355673,0.19460948,0.07,0.002316014,0.004545617,1.94E-05
10,36,1000,628,300,0.02,0,0.05,0,0,0,400000000,10,0.1,60,0.123854721,0.154165559,0.07,0.001845652,0.004379491,1.94E-05,0.112844647,0.130501216,0.07,0.001594084,0.003855505,1.94E-05
11,36,1000,628,300,0.02,0,0.05,0,0,0,400000000,10,0.1,60,0.132139604,0.165100722,0.07,0.002002991,0.005268137,1.94E-05,0.132139604,0.165100722,0.07,0.002002991,0.005268137,1.94E-05
12,36,1000,628,300,0.02,0,0.05,0,0,0,400000000,10,0.1,60,0.093390238,0.104640259,0.07,0.000993378,0.002973243,1.94E-05,0.091577746,0.096478183,0.07,0.000956121,0.002841896,1.94E-05
13,36,1000,628,300,0.02,0,0.05,0,0,0,400000000,10,0.1,60,0.123257783,0.164166213,0.07,0.002139397,0.005365676,1.94E-05,0.114854084,0.156371716,0.07,0.001902202,0.005108267,1.94E-05
14,36,1000,628,300,0.02,0,0.05,0,0,0,400000000,10,0.1,60,0.171443856,0.207697243,0.07,0.002814873,0.00556015,1.94E-05,0.145703041,0.181164706,0.07,0.002292129,0.005025596,1.94E-05
15,36,1000,628,300,0.02,0,0.05,0,0,0,400000000,10,0.1,60,0.167067878,0.197329298,0.07,0.002913442,0.005843279,1.94E-05,0.146301813,0.175397068,0.07,0.002552796,0.005633266,1.94E-05
16,36,1000,628,300,0.02,0,0.05,0,0,0,400000000,10,0.1,60,0.141298484,0.176157369,0.07,0.002210454,0.004699108,1.94E-05,0.136587889,0.163117571,0.07,0.002122868,0.004500633,1.94E-05
17,36,1000,628,300,0.02,0,0.05,0,0,0,400000000,10,0.1,60,0.167033423,0.197159345,0.07,0.002811637,0.005680876,1.94E-05,0.161210578,0.190140241,0.07,0.002742098,0.0056313,1.94E-05
18,36,1000,628,300,0.02,0,0.05,0,0,0,400000000,10,0.1,60,0.141797006,0.176254587,0.07,0.002476528,0.005140319,1.94E-05,0.133755803,0.158892706,0.07,0.002301222,0.004800967,1.94E-05
19,36,1000,628,300,0.02,0,0.05,0,0,0,400000000,10,0.1,60,0.15846345,0.190124874,0.07,0.002753302,0.005406883,1.94E-05,0.138399398,0.169197427,0.07,0.002251705,0.004816059,1.94E-05
20,36,1000,628,300,0.02,0,0.05,0,0,0,400000000,10,0.1,60,0.14955491,0.181607556,0.07,0.002018151,0.004315839,1.94E-05,0.140034324,0.174208289,0.07,0.001850622,0.00419755,1.94E-05
,,,,,,,,,,,,,,,0.148488614,0.180789188,0.07,0.002378631,0.005013439,1.94E-05,0.138851437,0.168060954,0.07,0.002172107,0.004745197,1.94E-05
