UEIdx,lambdaBS,lambdaUE,numBlockers,deployRange,discoveryDelay,failureDetectionDelay,connectionSetupDelay,signalingAfterRachDelay,frameHopCount,frameDeliveryDelay,minRatereq,powerFac,lower_bound_thresh,GroupCount,mean_meanOutageDuration_wo_CF,std_meanOutageDuration_wo_CF,median_meanOutageDuration_wo_CF,mean_outageProbability_wo_CF,std_outageProbability_wo_CF,median_outageProbability_wo_CF,mean_meanOutageDuration,std_meanOutageDuration,median_meanOutageDuration,mean_outageProbability,std_outageProbability,median_outageProbability,,,,
22,25,250,981,564.189584,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.074933409,0.050689035,0.07,0.000781253,0.001855884,1.94E-05,0.05945508,0.025081275,0.07,1.97E-05,2.97E-06,1.94E-05,,,,
23,25,250,981,564.189584,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.094951054,0.109346857,0.07,0.00222097,0.007172253,1.94E-05,0.057335698,0.027001873,0.07,1.94E-05,2.65E-10,1.94E-05,,,,
24,25,250,981,564.189584,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.095625038,0.112643505,0.07,0.001379753,0.005050025,1.94E-05,0.060882922,0.023570109,0.07,1.94E-05,2.16E-10,1.94E-05,,,,
25,25,250,981,564.189584,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.079627153,0.06639361,0.07,0.000848902,0.0031905,1.94E-05,0.062263897,0.021992579,0.07,1.94E-05,2.15E-10,1.94E-05,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,5.96E-08,1.95E-05,-1.19E-08,-0.996389332
1,36,250,628,564.189584,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.107812654,0.139767491,0.07,0.001062465,0.003793994,1.94E-05,0.063717225,0.019969813,0.07,1.94E-05,9.97E-11,1.94E-05,,,,
2,36,250,628,564.189584,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.089425133,0.098407226,0.07,0.000726985,0.002986109,1.94E-05,0.062321132,0.021832427,0.07,1.94E-05,1.35E-10,1.94E-05,,,,
3,36,250,628,564.189584,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.079262484,0.064906972,0.07,0.00030962,0.001540407,1.94E-05,0.067201514,0.01370792,0.07,1.94E-05,1.06E-10,1.94E-05,,,,
4,36,250,628,564.189584,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.093761394,0.104874729,0.07,0.000665518,0.002457322,1.94E-05,0.063719605,0.019962263,0.07,1.94E-05,1.04E-10,1.94E-05,,,,
5,36,250,628,564.189584,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.082025235,0.070151229,0.07,0.000486607,0.001818169,1.94E-05,0.064698613,0.018165299,0.07,4.55E-05,0.000253758,1.94E-05,,,,
6,36,250,628,564.189584,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.092319158,0.109597445,0.07,0.000688291,0.003131237,1.94E-05,0.065801854,0.016612457,0.07,1.94E-05,9.64E-11,1.94E-05,,,,
7,36,250,628,564.189584,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.083532947,0.078578281,0.07,0.000517103,0.002958379,1.94E-05,0.065807335,0.016591251,0.07,1.94E-05,9.54E-11,1.94E-05,,,,
8,36,250,628,564.189584,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.093515332,0.103269283,0.07,0.000706153,0.00280773,1.94E-05,0.064417737,0.018924435,0.07,1.94E-05,1.05E-10,1.94E-05,,,,
9,36,250,628,564.189584,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.116853645,0.141673346,0.07,0.001184668,0.003643184,1.94E-05,0.062371597,0.021692831,0.07,1.94E-05,8.26E-11,1.94E-05,,,,
10,36,250,628,564.189584,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.08977816,0.098832287,0.07,0.000639509,0.002552719,1.94E-05,0.064521047,0.0186033,0.07,2.64E-05,6.88E-05,1.94E-05,,,,
11,36,250,628,564.189584,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.095914111,0.114269749,0.07,0.001003664,0.003568428,1.94E-05,0.062985046,0.021034299,0.07,1.94E-05,1.44E-10,1.94E-05,,,,
12,36,250,628,564.189584,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.094825821,0.109725956,0.07,0.000845589,0.003097331,1.94E-05,0.063692889,0.020046482,0.07,1.94E-05,1.16E-10,1.94E-05,,,,
13,36,250,628,564.189584,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.085163522,0.086435224,0.07,0.000474707,0.0018156,1.94E-05,0.065104399,0.017838924,0.07,1.96E-05,1.40E-06,1.94E-05,,,,
14,36,250,628,564.189584,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.094810507,0.109397477,0.07,0.000785706,0.003114516,1.94E-05,0.064402821,0.018973964,0.07,1.94E-05,1.06E-10,1.94E-05,,,,
15,36,250,628,564.189584,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.089037066,0.095576822,0.07,0.000518601,0.002005112,1.94E-05,0.06513801,0.017717482,0.07,2.17E-05,2.21E-05,1.94E-05,,,,
16,36,250,628,564.189584,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.089849493,0.099112708,0.07,0.000540673,0.002131064,1.94E-05,0.065114883,0.017800645,0.07,1.99E-05,4.19E-06,1.94E-05,,,,
17,36,250,628,564.189584,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.084957212,0.084180137,0.07,0.00068161,0.003580736,1.94E-05,0.066491832,0.015288522,0.07,1.94E-05,9.05E-11,1.94E-05,,,,
