UEIdx,lambdaBS,lambdaUE,deployRange,minRatereq,powerFac,lower_bound_thresh,GroupCount,mean_mean_rate_before_handoff_affected,mean_mean_rate_after_handoff_affected,mean_mean_rate_after_handoff_affected_wo_algo,mean_mean_rate_before_handoff_not_affected,mean_mean_rate_after_handoff_not_affected,mean_mean_rate_after_handoff_not_affected_wo_algo,mean_rate_after_handoff_fr2,mean_rate_after_handoff_fr2_wo_algo
4,25,750,300,400000000,10,0.1,100,98714591.1045226,35679548.7666296,98418241.1914229,98858485.6032695,98919329.8720157,98600578.4850952,664432295.801342,680593259.331708
4,25,1000,300,400000000,10,0.1,100,97897357.1859746,36162061.412287,97252894.1796553,98129628.6952688,98375840.2140758,97565897.549417,622966593.567005,596676075.763828
5,25,250,300,400000000,10,0.1,70,99653540.1716955,35187720.3761289,99583636.8609491,99723217.4086005,99741558.1757596,99682809.7261008,738995653.953267,911320914.463158
5,25,500,300,400000000,10,0.1,90,99225764.1459702,35411989.0621694,99071710.2638078,99337474.5435314,99307584.8153128,99213391.4625978,695567805.093897,758476856.363079
5,25,750,300,400000000,10,0.1,90,98722440.3347554,35683591.7806323,98400700.3183987,98836972.6438968,98852894.4308495,98550986.943625,645041512.411153,658706573.96377
5,25,1000,300,400000000,10,0.1,100,97897357.1859746,36162061.412287,97252894.1796553,98129628.6952688,98375840.2140758,97565897.549417,630038182.018643,602926014.388562
6,25,250,300,400000000,10,0.1,60,99653289.8937819,35186315.7293662,99579276.4721708,99726266.1856469,99727644.59458,99681199.0893829,710273333.618913,853383630.825502
6,25,500,300,400000000,10,0.1,80,99220816.2574563,35411568.2522794,99054229.67271,99323390.209494,99253986.2287519,99184709.6552042,688886251.866016,768146175.543757
6,25,750,300,400000000,10,0.1,90,98722440.3347554,35683591.7806323,98400700.3183987,98836972.6438968,98852894.4308495,98550986.943625,656061220.028528,672549136.213207
6,25,1000,300,400000000,10,0.1,90,97900541.7615468,36165757.9788447,97198640.5137439,98087584.8983745,98269913.810881,97463972.0370265,589731033.607249,554948516.934624
7,25,250,300,400000000,10,0.1,50,99654042.120235,35186808.3534489,99576162.1650661,99722836.1575412,99708129.2458316,99671875.7681153,701816582.343919,834619745.488331
