UEIdx,lambdaBS,lambdaUE,numBlockers,discoveryDelay,failureDetectionDelay,connectionSetupDelay,signalingAfterRachDelay,frameHopCount,frameDeliveryDelay,minRatereq,powerFac,lower_bound_thresh,GroupCount,mean_meanOutageDuration_wo_CF,std_meanOutageDuration_wo_CF,mean_outageProbability_wo_CF,std_outageProbability_wo_CF,mean_meanOutageDuration,std_meanOutageDuration,mean_outageProbability,std_outageProbability
1,25,150,4000,0.02,0,0.05,0,0,0,1,100,0,100,0.7622579237959,0.168032357882589,0.210493895851717,0.0720874153092615,0,0,0,0
1,25,150,4000,0.02,0,0.05,0,0,0,10,100,0,100,0.7622579237959,0.168032357882589,0.210493895851717,0.0720874153092615,0,0,0,0
1,25,150,4000,0.02,0,0.05,0,0,0,100,100,0,100,0.7622579237959,0.168032357882589,0.210493895851717,0.0720874153092615,0.429818605567078,0.366471952232249,0.116822883221477,0.110230256142774
1,25,150,4000,0.02,0,0.05,0,0,0,1000,100,0,100,0.7622579237959,0.168032357882589,0.210493895851717,0.0720874153092615,0.754804166642914,0.184450000394599,0.208818798764551,0.0749765434546637
1,25,150,4000,0.02,0,0.05,0,0,0,10000,100,0,100,0.7622579237959,0.168032357882589,0.210493895851717,0.0720874153092615,0.7622579237959,0.168032357882589,0.210493895851717,0.0720874153092615
1,25,150,4000,0.02,0,0.05,0,0,0,100000,100,0,100,0.7622579237959,0.168032357882589,0.210493895851717,0.0720874153092615,0.7622579237959,0.168032357882589,0.210493895851717,0.0720874153092615
1,25,150,4000,0.02,0,0.05,0,0,0,1000000,100,0,100,0.7622579237959,0.168032357882589,0.210493895851717,0.0720874153092615,0.7622579237959,0.168032357882589,0.210493895851717,0.0720874153092615
1,25,150,4000,0.02,0,0.05,0,0,0,10000000,100,0,100,0.7622579237959,0.168032357882589,0.210493895851717,0.0720874153092615,0.7622579237959,0.168032357882589,0.210493895851717,0.0720874153092615
1,25,150,4000,0.02,0,0.05,0,0,0,100000000,100,0,100,0.7622579237959,0.168032357882589,0.210493895851717,0.0720874153092615,0.7622579237959,0.168032357882589,0.210493895851717,0.0720874153092615
1,25,150,4000,0.02,0,0.05,0,0,0,1000000000,100,0,100,0.7622579237959,0.168032357882589,0.210493895851717,0.0720874153092615,0.7622579237959,0.168032357882589,0.210493895851717,0.0720874153092615
1,25,150,4000,0.02,0,0.05,0,0,0,10000000000,100,0,100,0.7622579237959,0.168032357882589,0.210493895851717,0.0720874153092615,0.7622579237959,0.168032357882589,0.210493895851717,0.0720874153092615
