UEIdx,lambdaBS,lambdaUE,numBlockers,deployRange,discoveryDelay,failureDetectionDelay,connectionSetupDelay,signalingAfterRachDelay,frameHopCount,frameDeliveryDelay,minRatereq,powerFac,lower_bound_thresh,GroupCount,mean_meanOutageDuration_wo_CF,std_meanOutageDuration_wo_CF,median_meanOutageDuration_wo_CF,mean_outageProbability_wo_CF,std_outageProbability_wo_CF,median_outageProbability_wo_CF,mean_meanOutageDuration,std_meanOutageDuration,median_meanOutageDuration,mean_outageProbability,std_outageProbability,median_outageProbability
1,25,250,314,400,0.02,0,0.05,0,0,0,400000000,10,0.1,88,0.451921164,0.239330499,0.592353454,0.019966531,0.012430933,0.021359614,0,0,0,0,0,0
2,25,250,314,400,0.02,0,0.05,0,0,0,400000000,10,0.1,88,0.451167847,0.239218244,0.592854684,0.019338133,0.01307319,0.021838118,0,0,0,0,0,0
3,25,250,314,400,0.02,0,0.05,0,0,0,400000000,10,0.1,88,0.448994744,0.239061142,0.589956111,0.017653166,0.012312454,0.01907067,0,0,0,0,0,0
4,25,250,314,400,0.02,0,0.05,0,0,0,400000000,10,0.1,88,0.451700956,0.240431975,0.59300425,0.020161777,0.013270038,0.021980904,0,0,0,0,0,0
5,25,250,314,400,0.02,0,0.05,0,0,0,400000000,10,0.1,88,0.451540992,0.24043437,0.592108305,0.020009825,0.013706489,0.02112557,0,0,0,0,0,0
6,25,250,314,400,0.02,0,0.05,0,0,0,400000000,10,0.1,88,0.449987214,0.23921893,0.590463577,0.018439345,0.012838625,0.019555217,0,0,0,0,0,0
7,25,250,314,400,0.02,0,0.05,0,0,0,400000000,10,0.1,88,0.451996033,0.240505341,0.593406641,0.020394873,0.013249193,0.022365036,0,0,0,0,0,0
,,,,,,,,,,,,,,,0.451044136,,,0.019423379,,,,,,,,
