UEIdx,lambdaBS,lambdaUE,numBlockers,GroupCount,mean_rate_before_handoff,std_rate_before_handoff,mean_rate_after_handoff,std_rate_after_handoff,mean_rate_before_handoff_affected,std_rate_before_handoff_affected,mean_rate_after_handoff_affected,std_rate_after_handoff_affected,mean_rate_mmW,std_rate_mmW
1,25,200,400,99,278736446.464646,18594187.2081217,278157813.452709,18483600.4791604,264281343.887591,21383033.9342688,262780626.940041,21460121.0666173,1250630329.21266,991793146.18722
1,25,210,400,99,270657210.10101,22200499.543527,270111515.62368,22244797.782179,253543437.089852,25389345.2685921,252314186.904393,25569122.497568,1084466884.23382,871286492.832184
1,25,220,400,99,267863348.484848,21602772.9017968,267395335.778998,21660017.7563336,252718574.296995,26558320.3549707,251453038.469671,26631148.2151448,1150457217.68903,913020545.21364
1,25,230,400,99,262707497.979798,20943977.4995786,262130279.352046,21023493.3663594,248790132.48276,26740455.02334,247459499.005895,26724504.5322198,1115357160.27413,908293868.467647
1,25,240,400,99,257308663.636364,21968071.3104243,256791509.757259,22036786.129023,241328713.044599,28087940.5491347,240096593.88896,28217005.5466857,1074807296.09148,841992317.890107
1,25,250,400,99,257608319.191919,21603407.4887041,257101531.682756,21643962.6074234,241928961.402142,26760152.9746709,240701448.979059,26707242.2106616,1081010746.9319,900880005.727321
