UEIdx,numUEsub6,lambdaBS,numBlockers,discoveryDelay,failureDetectionDelay,connectionSetupDelay,signalingAfterRachDelay,frameHopCount,frameDeliveryDelay,minRatereq,GroupCount,mean_outageProbability_wo_CF_Analysis,std_outageProbability_wo_CF_Analysis,mean_outageProbabilityAnalysis,std_outageProbabilityAnalysis,mean_meanOutageDuration_wo_CF,std_meanOutageDuration_wo_CF,mean_outageProbability_wo_CF,std_outageProbability_wo_CF,mean_meanOutageDuration,std_meanOutageDuration,mean_outageProbability,std_outageProbability
1,2,200,4000,0.02,0,0.01,0,0,0,10000000,128,0.00753310617934175,0.0278727567705857,0,0,0.0323769171378607,0.0985376541468562,0.0116846288870928,0.0314443354163605,0.000153099394212029,7.99391377242569e-05,5.00038296896367e-05,1.30518078454619e-09
1,2,200,4000,0.02,0,0.01,0,0,0,100000000,146,0.00508819354322344,0.0172684675638371,0.000311888446502871,0.00376856243772718,0.0221024863760406,0.0544628836837697,0.00908221891914021,0.0219701791759357,0.00199293890824831,0.0183568001687636,0.00116710570008021,0.0119277719425332
1,2,200,4000,0.02,0,0.02,0,0,0,10000000,128,0.00996118032227841,0.0281876794135972,0,0,0.0426871456927215,0.0988346350162173,0.0156074644739,0.0315181280625567,0.000207020054110248,0.000117037339918427,6.69309084656789e-05,2.94639657264866e-06
1,2,200,4000,0.02,0,0.02,0,0,0,100000000,146,0.0074688680799297,0.0176253540213294,0.000343443607867169,0.00414984490319619,0.0323683333780695,0.0544402718538817,0.0130019191306148,0.0222567066527622,0.00217969419389769,0.0187262317620783,0.00123093443549937,0.0120553245208954
1,2,200,4000,0.02,0,0.05,0,0,0,10000000,128,0.0171561177852444,0.029384626562812,0,0,0.0744305886657561,0.100455602650997,0.0272097264681638,0.0321379539703741,0.000375790859980033,0.000228519876863734,0.000118623529298959,1.64181944681563e-05
1,2,200,4000,0.02,0,0.05,0,0,0,100000000,146,0.0145258143189982,0.0190705139837181,0.000436307437472521,0.00527192282560171,0.0639694368980352,0.0549975713182333,0.0246758395862929,0.0235904370521492,0.00280325148983332,0.022613948361447,0.00146515327160757,0.013729216219254
1,2,200,4000,0.05,0,0.01,0,0,0,10000000,128,0.00784936849296864,0.0291431566645153,0,0,0.0355938647974334,0.104222312183778,0.0128172316290706,0.0330462325669486,0.000309266299015258,0.000161019602381593,0.000100134011330246,1.47303401722043e-06
1,2,200,4000,0.05,0,0.01,0,0,0,100000000,146,0.0053027839834751,0.0181471551884121,0.00033782197215849,0.00408191842048143,0.0248848127628554,0.0578142126707496,0.010188958222775,0.0233843169385663,0.00250073259435808,0.0204672359269667,0.00137608234145464,0.0129959485638715
1,2,200,4000,0.05,0,0.02,0,0,0,10000000,128,0.0102760832861528,0.0294518101557438,0,0,0.0461364058414394,0.105202425602229,0.0167271126948784,0.0331296163967468,0.000366490938491742,0.000204927899576286,0.000117191283856281,5.89245712969159e-06
1,2,200,4000,0.05,0,0.02,0,0,0,100000000,146,0.00768254333335538,0.0185010283829184,0.000369251956349242,0.00446168836440763,0.0353021162661388,0.0578417472057385,0.0141308997798843,0.0236754405080862,0.00246725762932435,0.0208212277477843,0.00135892013958351,0.0131683601615613
1,2,200,4000,0.05,0,0.05,0,0,0,10000000,128,0.0174670192268446,0.030618878935591,0,0,0.0778405795764084,0.105618497296443,0.0283580282580741,0.0336632539468934,0.000539115267484311,0.000325007951718435,0.000168623511330201,1.26568836426228e-05
1,2,200,4000,0.05,0,0.05,0,0,0,100000000,146,0.0147367919276264,0.0199195336802681,0.000461747401474461,0.00557931508020374,0.0671501463057814,0.0584303881444705,0.0258946814199012,0.0249125846183535,0.00326583550742548,0.0247402876454255,0.00165124690194761,0.0146828662823095
1,2,300,4000,0.02,0,0.01,0,0,0,10000000,125,0.00251998226207164,0.00268631353611593,0,0,0.0123050144050029,0.00827376883872699,0.0049426708414227,0.00387173083267088,0.000153429257139184,0.000107672998189107,5.01372901355392e-05,1.49083667597338e-06
1,2,300,4000,0.02,0,0.01,0,0,0,100000000,143,0.00194305296013777,0.0010668769028227,0,0,0.0112103391477016,0.00224481097687091,0.00401450264522087,0.00154918682175242,0.000175933651809173,0.000190955629518594,5.0120131470507e-05,1.39384684836253e-06
1,2,300,4000,0.02,0,0.02,0,0,0,10000000,125,0.00476621681614221,0.00339052070552302,0,0,0.0225811663277695,0.00829371764904928,0.00904596465683742,0.0046280408781634,0.000210155565745409,0.00017973664819129,6.747063493554e-05,6.64494168763417e-06
1,2,300,4000,0.02,0,0.02,0,0,0,100000000,143,0.00384738010407803,0.00205908498503846,0,0,0.0214805605287529,0.00233526391313411,0.00765089504810485,0.00262432452955053,0.000236822000799699,0.000253305433593265,6.76026220299259e-05,5.51586628759347e-06
1,2,300,4000,0.02,0,0.05,0,0,0,10000000,125,0.0114306219736772,0.00615865446316563,0,0,0.054206953242347,0.00840443257126691,0.0210831504042551,0.00804362611365425,0.000381939486231447,0.000291952913880562,0.000120003867202158,1.63954798313746e-05
1,2,300,4000,0.02,0,0.05,0,0,0,100000000,143,0.00950520748937315,0.00500340260542176,0,0,0.0530055480240781,0.00274907779940981,0.0184825324055409,0.00620989531128711,0.000418664889511295,0.000422545110838533,0.000119001141843411,1.378947832838e-05
1,2,300,4000,0.05,0,0.01,0,0,0,10000000,125,0.0025503870948474,0.00289926864648714,0,0,0.0141235682504651,0.00932458689371984,0.00565625036702319,0.0044247581128833,0.000308209261106896,0.000208992303815715,0.00010013726933553,1.49063118917965e-06
