UEIdx,lambdaBS,lambdaUE,numBlockers,deployRange,discoveryDelay,failureDetectionDelay,connectionSetupDelay,signalingAfterRachDelay,frameHopCount,frameDeliveryDelay,minRatereq,powerFac,lower_bound_thresh,GroupCount,mean_meanOutageDuration_wo_CF,std_meanOutageDuration_wo_CF,median_meanOutageDuration_wo_CF,mean_outageProbability_wo_CF,std_outageProbability_wo_CF,median_outageProbability_wo_CF,mean_meanOutageDuration,std_meanOutageDuration,median_meanOutageDuration,mean_outageProbability,std_outageProbability,median_outageProbability
1,25,250,981,300,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.131920019356833,0.169437462722772,0.07,0.0038872469357803,0.00816646073136557,1.94444444444e-05,0.0433335323284784,0.0339591049391566,0.07,2.0657121360696e-05,1.07447856214641e-05,1.94444444444e-05
2,25,250,981,300,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.139272084630491,0.177463747425796,0.07,0.00463147433240774,0.00886972625788771,1.94444444444e-05,0.0411812339725935,0.0344516637372641,0.07,1.94446977814929e-05,3.35268050444282e-10,1.94444444444e-05
3,25,250,981,300,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.124232284228305,0.155524727518318,0.07,0.0045619496167796,0.00963831015399834,1.94444444444e-05,0.0404701973697694,0.0345770046004602,0.07,1.94447111371586e-05,3.37087905927967e-10,1.94444444444e-05
4,25,250,981,300,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.143051372680782,0.173402429783431,0.07,0.00465804780543114,0.00841286446896296,1.94444444444e-05,0.0413573632864198,0.0342673561773138,0.07,1.94447083313727e-05,3.57432916158865e-10,1.94444444444e-05
5,25,250,981,300,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.136367721651432,0.172277486139135,0.07,0.00373747947515282,0.00673114203457284,1.94444444444e-05,0.0414485321123565,0.0342093195623449,0.07,1.94446755033273e-05,3.23589563458443e-10,1.94444444444e-05
6,25,250,981,300,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.152725828982916,0.190294281285077,0.07,0.00489460524769362,0.00924002399430252,1.94444444444e-05,0.0418905572276882,0.0343130482644198,0.07,1.94446826300646e-05,3.26118109924937e-10,1.94444444444e-05
7,25,250,981,300,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.129778871043608,0.161186035191767,0.07,0.0044808481456435,0.00720088705584936,0.0019527707183322,0.0341290314571163,0.0349772759667292,0.0007777876665885,1.94447618663374e-05,3.42855276137491e-10,1.94446916647e-05
8,25,250,981,300,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.148803434859607,0.189047888706015,0.07,0.00568457473662057,0.0109599569273453,1.94444444444e-05,0.0397641027714411,0.0346810249391291,0.07,1.94447129890465e-05,3.38950519213563e-10,1.94444444444e-05
