UEIdx,lambdaBS,lambdaUE,numBlockers,discoveryDelay,failureDetectionDelay,connectionSetupDelay,signalingAfterRachDelay,frameHopCount,frameDeliveryDelay,minRatereq,powerFac,lower_bound_thresh,GroupCount,mean_meanOutageDuration_wo_CF,std_meanOutageDuration_wo_CF,mean_outageProbability_wo_CF,std_outageProbability_wo_CF,mean_meanOutageDuration,std_meanOutageDuration,mean_outageProbability,std_outageProbability
1,25,225,400,0.02,0,0.05,0,0,0,400000000,100,0.05,99,0.420711542519459,0.265889970336044,0.0193706806578207,0.0142368956020742,0.0903766007908246,0.209984041283949,0.00414194653170765,0.00997701751467519
1,25,225,4000,0.02,0,0.05,0,0,0,400000000,100,0.05,99,0.487349227435298,0.248813992706488,0.176614389327281,0.102541069475481,0.101825822847975,0.225411237779799,0.0379916291828087,0.0867981592079718
1,50,225,400,0.02,0,0.05,0,0,0,400000000,100,0.05,99,0.332046120885448,0.274044436028997,0.0161978375411127,0.01532973344451,0.0764677774894215,0.180767822674281,0.00362608823492291,0.00870241952793373
1,50,225,4000,0.02,0,0.05,0,0,0,400000000,100,0.05,99,0.377015170042438,0.280096705023725,0.146866963984379,0.115621173118194,0.0829503855699875,0.183243390223672,0.032147801751521,0.071840760925917
1,75,225,400,0.02,0,0.05,0,0,0,400000000,100,0.05,99,0.134589272749764,0.180253585105014,0.00681194158069149,0.0112631274957071,0.0167305189274714,0.0765014998736334,0.00082427069444657,0.00497069132197108
1,75,225,4000,0.02,0,0.05,0,0,0,400000000,100,0.05,99,0.214363651707018,0.230303746821762,0.0834201653099962,0.0911214951922559,0.0346897713361371,0.110991491929446,0.013336473830281,0.0410836549083376
1,100,225,400,0.02,0,0.05,0,0,0,400000000,100,0.05,99,0.132565430979689,0.184585419718203,0.00672174938694421,0.0106028511453014,0.00768961525435822,0.0156685585460861,0.000266491354763263,0.000581566550449809
1,100,225,4000,0.02,0,0.05,0,0,0,400000000,100,0.05,99,0.160773290029826,0.196305020977763,0.0599137269155311,0.0709338927171589,0.0158107318732187,0.0767273701991328,0.00553847512429748,0.024787378207539
1,125,225,400,0.02,0,0.05,0,0,0,400000000,100,0.05,99,0.0889872995222281,0.128473781752746,0.00470741203372269,0.00831571016828223,0.00337934177943433,0.00515322651097869,0.00013383885707097,0.000170856414390282
1,125,225,4000,0.02,0,0.05,0,0,0,400000000,100,0.05,99,0.152261978009356,0.188043496731423,0.0545541823872891,0.0613070964383102,0.00199803965354786,0.0100807520999338,0.00101509265549659,0.00556583217899814
1,150,225,400,0.02,0,0.05,0,0,0,400000000,100,0.05,99,0.0896695010727177,0.128325428464848,0.00408386558727889,0.00580184097912959,0.00801438021055661,0.0366173986669748,0.000339966936431979,0.00159656785675436
1,150,225,4000,0.02,0,0.05,0,0,0,400000000,100,0.05,99,0.115954713873232,0.14728955807748,0.0415212637581319,0.0446832940863785,0.00238817156540365,0.00977425791684917,0.000696745201703356,0.00326527577886913
1,175,225,400,0.02,0,0.05,0,0,0,400000000,100,0.05,99,0.0683001014114689,0.0865697486946106,0.00323661313388847,0.00525271163263421,0.00517717060148007,0.0112230885284235,0.000191958736767945,0.000428123127240382
1,175,225,4000,0.02,0,0.05,0,0,0,400000000,100,0.05,99,0.0833152198814627,0.102975084058582,0.0317647733052111,0.040099563501496,0.00118130929988327,0.00819690795817267,0.000364505069229227,0.00245747648897477
1,200,225,400,0.02,0,0.05,0,0,0,400000000,100,0.05,99,0.054766034106558,0.0293861899647688,0.00235062820558927,0.000960507020628785,0.00344170122772072,0.00256703424203981,0.000116667100168587,1.89513969134683e-10
1,200,225,4000,0.02,0,0.05,0,0,0,400000000,100,0.05,99,0.0658453325600783,0.0655502718910736,0.026485377961014,0.0292262846275212,0.000999760212920785,0.00619846988997176,0.000392111832838042,0.00269836420175823
