UEIdx,lambdaBS,lambdaUE,numBlockers,deployRange,discoveryDelay,failureDetectionDelay,connectionSetupDelay,signalingAfterRachDelay,frameHopCount,frameDeliveryDelay,minRatereq,powerFac,lower_bound_thresh,GroupCount,mean_meanOutageDuration_wo_CF,std_meanOutageDuration_wo_CF,median_meanOutageDuration_wo_CF,mean_outageProbability_wo_CF,std_outageProbability_wo_CF,median_outageProbability_wo_CF,mean_meanOutageDuration,std_meanOutageDuration,median_meanOutageDuration,mean_outageProbability,std_outageProbability,median_outageProbability
1,25,250,981,300,0.02,0,0.05,0,0,0,400000000,10,0.1,63,0.150042858993385,0.186123764851046,0.07,0.00542074664439507,0.00944169850357121,1.94444444444e-05,0.0719446680851082,0.0906067994606625,0.07,0.00188479071912341,0.00459437394313876,1.94444444444e-05
2,25,250,981,300,0.02,0,0.05,0,0,0,400000000,10,0.1,63,0.13494239491013,0.173010930301216,0.07,0.00455057971228858,0.00971791319524026,1.94444444444e-05,0.0810677758569684,0.0914299991650199,0.07,0.00178417376607779,0.003328510841758,1.94444444444e-05
3,25,250,981,300,0.02,0,0.05,0,0,0,400000000,10,0.1,63,0.0940165044280987,0.107835183759572,0.07,0.00313384069721302,0.00691529815925076,1.94444444444e-05,0.0755905926828158,0.095093213482505,0.07,0.00211459462879212,0.00645737498119569,1.94444444444e-05
4,25,250,981,300,0.02,0,0.05,0,0,0,400000000,10,0.1,63,0.11891793387273,0.151725326046822,0.07,0.00417104063388343,0.00817752700084416,1.94444444444e-05,0.0555949561206176,0.0447526213338689,0.07,0.00156225426397488,0.00408436703611869,1.94444444444e-05
5,25,250,981,300,0.02,0,0.05,0,0,0,400000000,10,0.1,63,0.14136694419049,0.173939658270697,0.07,0.00493803698965614,0.00965143672161584,1.94444444444e-05,0.0784421603098286,0.10609166050472,0.07,0.00160815060829964,0.00266428851075272,1.94444444444e-05
6,25,250,981,300,0.02,0,0.05,0,0,0,400000000,10,0.1,63,0.104101543781173,0.131042553405161,0.07,0.00267377490638019,0.00702921856208095,1.94444444444e-05,0.0735710010746568,0.0769518518043684,0.07,0.0011843249638983,0.00359805444907434,1.94444444444e-05
7,25,250,981,300,0.02,0,0.05,0,0,0,400000000,10,0.1,63,0.144731179077052,0.183571153130812,0.07,0.00571935842929821,0.00978285258923602,0.0033844284318727,0.0816744528671283,0.123323560321224,0.07,0.00254132032444071,0.00700413652829427,1.94447555533e-05
8,25,250,981,300,0.02,0,0.05,0,0,0,400000000,10,0.1,63,0.109305099590914,0.136180006029102,0.07,0.00320380568377347,0.00574849934333436,1.94444444444e-05,0.0709270235549819,0.0954974817007117,0.07,0.00148394955433932,0.00340392537506731,1.94444444444e-05
9,25,250,981,300,0.02,0,0.05,0,0,0,400000000,10,0.1,63,0.125852987854997,0.1609437432123,0.07,0.00380178096018785,0.00686629534926955,1.94444444444e-05,0.070545668881948,0.0983694814737848,0.07,0.0017005942134599,0.00508664024971765,1.94444444444e-05
10,25,250,981,300,0.02,0,0.05,0,0,0,400000000,10,0.1,63,0.162573603362035,0.194822987068648,0.07,0.00514126071185342,0.00964793463718607,1.94444444444e-05,0.0693830819851106,0.104129903465253,0.07,0.00163588119059998,0.0053010135515386,1.94444444444e-05
11,25,250,981,300,0.02,0,0.05,0,0,0,400000000,10,0.1,63,0.130774595472473,0.163176383883674,0.07,0.00397545823238636,0.00749806020845088,1.94444444444e-05,0.0862872777269837,0.127064475311554,0.07,0.00221476038645658,0.00628209161430251,1.94444444444e-05
12,25,250,981,300,0.02,0,0.05,0,0,0,400000000,10,0.1,63,0.135383258104227,0.172740104529995,0.07,0.00406734722455852,0.00848315685004325,1.94444444444e-05,0.0741139316037344,0.105362282670375,0.07,0.00106120405256539,0.00371329355005815,1.94444444444e-05
13,25,250,981,300,0.02,0,0.05,0,0,0,400000000,10,0.1,63,0.118932291772462,0.141692144647257,0.07,0.00318282261271103,0.00591184274774023,1.94444444444e-05,0.0716292803822969,0.077185230216139,0.07,0.00152350911852999,0.00329491497225821,1.94444444444e-05
14,25,250,981,300,0.02,0,0.05,0,0,0,400000000,10,0.1,63,0.135555150368754,0.175721899640844,0.07,0.00326955583651717,0.00552270641435469,1.94444444444e-05,0.0772891178795019,0.104466553821939,0.07,0.0014285489350552,0.00328388721479939,1.94444444444e-05
15,25,250,981,300,0.02,0,0.05,0,0,0,400000000,10,0.1,63,0.124882224701245,0.158439978799698,0.07,0.00420019667225459,0.00896021896959991,1.94444444444e-05,0.0622700447330909,0.0587781364798979,0.07,0.000933518174079086,0.00175337316877328,1.94444444444e-05
16,25,250,981,300,0.02,0,0.05,0,0,0,400000000,10,0.1,63,0.124433450442066,0.157197511024671,0.07,0.00376440741368133,0.00805894321404828,1.94444444444e-05,0.0680611317353019,0.0870412858226667,0.07,0.000911367536177217,0.00227564400061496,1.94444444444e-05
17,25,250,981,300,0.02,0,0.05,0,0,0,400000000,10,0.1,63,0.104338143643994,0.13693968013052,0.07,0.00282997916076521,0.00389886364943141,1.94444444444e-05,0.0731903155696916,0.113299913093308,0.07,0.00153683901189444,0.00336405521803483,1.94444444444e-05
18,25,250,981,300,0.02,0,0.05,0,0,0,400000000,10,0.1,63,0.144481605737305,0.186173736441436,0.07,0.00454895444846325,0.00811730281469574,1.94444444444e-05,0.0773707224234691,0.126151316597741,0.07,0.00162963594333859,0.00442151891868256,1.94444444444e-05
19,25,250,981,300,0.02,0,0.05,0,0,0,400000000,10,0.1,63,0.122638245689736,0.151649524776218,0.07,0.00394606541540448,0.00857733039728431,1.94444444444e-05,0.0584653656805055,0.0247256642191934,0.07,0.0010103352107478,0.00211250684052814,1.94444444444e-05
20,25,250,981,300,0.02,0,0.05,0,0,0,400000000,10,0.1,63,0.14329451700747,0.18290671354975,0.07,0.00507838716092881,0.00992147918019732,1.94444444444e-05,0.0781444311251854,0.111151954074489,0.07,0.0018727332476883,0.00605085854745584,1.94444444444e-05
