UEIdx,lambdaBS,lambdaUE,numBlockers,deployRange,discoveryDelay,failureDetectionDelay,connectionSetupDelay,signalingAfterRachDelay,frameHopCount,frameDeliveryDelay,minRatereq,powerFac,lower_bound_thresh,GroupCount,mean_meanOutageDuration_wo_CF,std_meanOutageDuration_wo_CF,mean_outageProbability_wo_CF,std_outageProbability_wo_CF,mean_meanOutageDuration,std_meanOutageDuration,mean_outageProbability,std_outageProbability
1,25,1000,314,100,0.02,0,0.05,0,0,0,400000000,10,0.1,98,0.374255847063699,0.250943690139616,0.0132300096093317,0.0100923513196896,0.0250573006329404,0.102069238797962,0.000892163203229214,0.00359297029025681
2,25,1000,314,100,0.02,0,0.05,0,0,0,400000000,10,0.1,98,0.391258023570609,0.257753209885476,0.0153418722587497,0.0123476227825759,0.0306216158966701,0.115419022489759,0.0010969588642107,0.0047033001741194
3,25,1000,314,100,0.02,0,0.05,0,0,0,400000000,10,0.1,98,0.379549883076712,0.256090324510124,0.0142567374365717,0.0120127669290702,0.0266272082917073,0.0986532279143112,0.00109813639300354,0.0044461352457197
4,25,1000,314,100,0.02,0,0.05,0,0,0,400000000,10,0.1,98,0.364308554839827,0.235794444485314,0.0134916666180717,0.0113756153413518,0.0299154617083794,0.109178205259499,0.000991963070555653,0.00375499845076046
