UE idx,lambdaBS,lambdaUE_sub6,numBlockers,discoveryDelay,failureDetectionDelay,connectionSetupDelay,signalingAfterRachDelay,frameHopCount,frameDeliveryDelay,minRatereq,minRatereq_sub6,outageDuration_wo_CF_Analysis,outageDurationAnalysis,outageProbability_wo_CF_Analysis,outageProbabilityAnalysis,meanOutageDuration_wo_CF,outageProbability_wo_CF,meanOutageDuration,outageProbability
1,25,10,4000,0.05,0,0.05,0,0,0,1000000000,1000000,0.961170362,0,0.338562092,0,0.699320918,0.326349762,0.095557106,0.044593316
2,25,10,4000,0.05,0,0.05,0,0,0,1000000000,1000000,0.905937245,0,0.287942751,0,0.681349411,0.300929323,0.131954171,0.058279759
3,25,10,4000,0.05,0,0.05,0,0,0,1000000000,1000000,1.078052495,0,0.443512361,0,0.959682086,0.543819849,0.14142103,0.080138584
4,25,10,4000,0.05,0,0.05,0,0,0,1000000000,1000000,0.794715416,0.794715416,0.184518064,0.184518064,0.972051164,0.243012791,0.003333343,0.000833336
5,25,10,4000,0.05,0,0.05,0,0,0,1000000000,1000000,0.736301283,0.736301283,0.129555368,0.129555368,0.622567944,0.124513589,0.242296385,0.048459277
6,25,10,4000,0.05,0,0.05,0,0,0,1000000000,1000000,0.779184656,0.779184656,0.169943212,0.169943212,0.604778508,0.161274269,0.14351083,0.038269555
7,25,10,4000,0.05,0,0.05,0,0,0,1000000000,1000000,0.913098366,0.913098366,0.294536774,0.294536774,0.687591109,0.320875851,0.061384252,0.028645984
8,25,10,4000,0.05,0,0.05,0,0,0,1000000000,1000000,1.050825013,1.050825013,0.419370091,0.419370091,0.974121853,0.478943245,0.129004621,0.063427272
9,25,10,4000,0.05,0,0.05,0,0,0,1000000000,1000000,0.974836895,0.974836895,0.350996415,0.350996415,0.803336787,0.435140759,0.158079071,0.085626163
10,25,10,4000,0.05,0,0.05,0,0,0,1000000000,1000000,0.630397353,0,0.02903013,0,0.476088131,0.019837005,0.020000008,0.000833334
11,25,10,4000,0.05,0,0.05,0,0,0,1000000000,1000000,0.878839427,0.878839427,0.262913689,0.262913689,0.751133737,0.262896808,0.124477326,0.043567064
12,25,10,4000,0.05,0,0.05,0,0,0,1000000000,1000000,1.072194473,1.072194473,0.438335751,0.438335751,1.013346068,0.565784888,0.293643519,0.163950965
13,25,10,4000,0.05,0,0.05,0,0,0,1000000000,1000000,0.940845853,0.940845853,0.320001249,0.320001249,0.760646211,0.342290795,0.125046673,0.056271003
14,25,10,4000,0.05,0,0.05,0,0,0,1000000000,1000000,0.959816569,0.959816569,0.337328294,0.337328294,0.605958431,0.333277137,0.057127069,0.031419888
15,25,10,4000,0.05,0,0.05,0,0,0,1000000000,1000000,1.060156797,1.060156797,0.427667673,0.427667673,0.921950051,0.499389611,0.148631868,0.080508929
16,25,10,4000,0.05,0,0.05,0,0,0,1000000000,1000000,0.722481773,0.722481773,0.116497892,0.116497892,0.652536373,0.141382881,0.171108574,0.037073524
17,25,10,4000,0.05,0,0.05,0,0,0,1000000000,1000000,1.009346418,1.009346418,0.382216497,0.382216497,0.775920464,0.459086275,0.089070297,0.052699925
18,25,10,4000,0.05,0,0.05,0,0,0,1000000000,1000000,0.894243648,0.894243648,0.27715658,0.27715658,0.575652647,0.278232113,0.034301727,0.016579168
19,25,10,4000,0.05,0,0.05,0,0,0,1000000000,1000000,1.020886927,0,0.392596381,0,0.759106017,0.423834193,0.185316786,0.103468539
20,25,10,4000,0.05,0,0.05,0,0,0,1000000000,1000000,1.021242368,1.021242368,0.39291557,0.39291557,0.797894563,0.39229816,0.077237311,0.037975011
21,25,10,4000,0.05,0,0.05,0,0,0,1000000000,1000000,0.917188887,0.917188887,0.298299389,0.298299389,0.696552399,0.267011753,0.11980377,0.045924778
22,25,10,4000,0.05,0,0.05,0,0,0,1000000000,1000000,1.00203519,1.00203519,0.37562439,0.37562439,0.840748146,0.476423949,0.161586674,0.091565782
23,25,10,4000,0.05,0,0.05,0,0,0,1000000000,1000000,1.004540705,1.004540705,0.377884854,0.377884854,0.750992098,0.425562189,0.043146515,0.024449692
24,25,10,4000,0.05,0,0.05,0,0,0,1000000000,1000000,1.082215435,1.082215435,0.447184983,0.447184983,0.789948351,0.506883525,0.012741613,0.008175868
25,25,10,4000,0.05,0,0.05,0,0,0,1000000000,1000000,1.046398167,1.046398167,0.415425679,0.415425679,0.754346175,0.440035269,0.181587729,0.105926175
26,25,10,4000,0.05,0,0.05,0,0,0,1000000000,1000000,0.801243512,0.801243512,0.190635583,0.190635583,0.770659091,0.179820455,0.051364248,0.011984991
27,25,10,4000,0.05,0,0.05,0,0,0,1000000000,1000000,1.075734157,1.075734157,0.441464883,0.441464883,0.793316705,0.515655858,0.028299028,0.018394368
,,,,,,,,,,,,0.938293681,0.768055,0.316374689,0.261128625,0.758947979,0.350539344,0.112260428,0.051075639
