UE idx,lambdaBS,lambdaUE_sub6,numBlockers,discoveryDelay,failureDetectionDelay,connectionSetupDelay,signalingAfterRachDelay,frameHopCount,frameDeliveryDelay,minRatereq,minRatereq_sub6,outageDuration_wo_CF_Analysis,outageDurationAnalysis,outageProbability_wo_CF_Analysis,outageProbabilityAnalysis,meanOutageDuration_wo_CF,outageProbability_wo_CF,meanOutageDuration,outageProbability
1,75,10,4000,0.05,0,0.05,0,0,0,1000000000,10000000,0.118736609,0,0.019240143,0,0.052941186,0.007500001,0.008823539,0.001250001
2,75,10,4000,0.05,0,0.05,0,0,0,1000000000,10000000,0.178035227,0,0.046641591,0,0.207078045,0.09318512,0.001851862,0.000833338
3,75,10,4000,0.05,0,0.05,0,0,0,1000000000,10000000,0.102969875,0,0.013389751,0,0.085235106,0.019177899,0.009878468,0.002222655
4,75,10,4000,0.05,0,0.05,0,0,0,1000000000,10000000,0.269231519,0.269231519,0.100055054,0.100055054,0.207992932,0.13692868,0.014491889,0.009540493
5,75,10,4000,0.05,0,0.05,0,0,0,1000000000,10000000,0.203720844,0.203720844,0.06056664,0.06056664,0.196123521,0.099696123,0.015993472,0.008130015
6,75,10,4000,0.05,0,0.05,0,0,0,1000000000,10000000,0.255705438,0.255705438,0.091507713,0.091507713,0.229966926,0.159060457,0.027781632,0.019215629
7,75,10,4000,0.05,0,0.05,0,0,0,1000000000,10000000,0.370299232,0.370299232,0.168611022,0.168611022,0.457994621,0.29006326,0.018912164,0.011977704
8,75,10,4000,0.05,0,0.05,0,0,0,1000000000,10000000,0.241639502,0.241639502,0.082819503,0.082819503,0.235507305,0.119716214,0.007388622,0.003755883
9,75,10,4000,0.05,0,0.05,0,0,0,1000000000,10000000,0.207551228,0.207551228,0.062728763,0.062728763,0.16162412,0.070037119,0.011013959,0.004772716
10,75,10,4000,0.05,0,0.05,0,0,0,1000000000,10000000,0.131367121,0.131367121,0.024415051,0.024415051,0.101156386,0.023603157,0.017165231,0.004005221
11,75,10,4000,0.05,0,0.05,0,0,0,1000000000,10000000,0.233449809,0.233449809,0.077862154,0.077862154,0.122795207,0.064467484,0.006294473,0.003304598
12,75,10,4000,0.05,0,0.05,0,0,0,1000000000,10000000,0.371239481,0.371239481,0.169280004,0.169280004,0.26737169,0.211669254,0.002105273,0.001666674
13,75,10,4000,0.05,0,0.05,0,0,0,1000000000,10000000,0.230661063,0.230661063,0.076191999,0.076191999,0.215749038,0.089895433,0.020357903,0.00848246
14,75,10,4000,0.05,0,0.05,0,0,0,1000000000,10000000,0.257574575,0.257574575,0.092677971,0.092677971,0.371999425,0.185999713,0.038989815,0.019494908
15,75,10,4000,0.05,0,0.05,0,0,0,1000000000,10000000,0.1906205,0.1906205,0.05333487,0.05333487,0.190244439,0.071341664,0.003333343,0.001250004
16,75,10,4000,0.05,0,0.05,0,0,0,1000000000,10000000,0.40462809,0.40462809,0.193324556,0.193324556,0.234682407,0.172100432,0.001136374,0.000833341
17,75,10,4000,0.05,0,0.05,0,0,0,1000000000,10000000,0.168756951,0.168756951,0.041880123,0.041880123,0.184257169,0.070631915,0.01516112,0.005811762
18,75,10,4000,0.05,0,0.05,0,0,0,1000000000,10000000,0.143406273,0.143406273,0.029710509,0.029710509,0.106261133,0.027450793,0.008064526,0.002083336
19,75,10,4000,0.05,0,0.05,0,0,0,1000000000,10000000,0.186095756,0.186095756,0.050898602,0.050898602,0.284539663,0.071134916,0.015386645,0.003846661
20,75,10,4000,0.05,0,0.05,0,0,0,1000000000,10000000,0.311797116,0.311797116,0.128025726,0.128025726,0.212527814,0.161166926,0.010088013,0.007650076
21,75,10,4000,0.05,0,0.05,0,0,0,1000000000,10000000,0.385980173,0.385980173,0.179828095,0.179828095,0.275279329,0.247751396,0.027048283,0.024343455
22,75,10,4000,0.05,0,0.05,0,0,0,1000000000,10000000,0.320255415,0.320255415,0.133754831,0.133754831,0.266714437,0.197813207,0.026696579,0.019799963
23,75,10,4000,0.05,0,0.05,0,0,0,1000000000,10000000,0.180815433,0.180815433,0.048097608,0.048097608,0.1641501,0.064292123,0.005319159,0.002083337
24,75,10,4000,0.05,0,0.05,0,0,0,1000000000,10000000,0.309685306,0.309685306,0.126603493,0.126603493,0.23122399,0.148368727,0.001298711,0.00083334
25,75,10,4000,0.05,0,0.05,0,0,0,1000000000,10000000,0.22389431,0.22389431,0.072178746,0.072178746,0.258104618,0.090336616,0.003571438,0.001250003
26,75,10,4000,0.05,0,0.05,0,0,0,1000000000,10000000,0.136615548,0.136615548,0.026682064,0.026682064,0.182884763,0.042673111,0.005357152,0.001250002
,,,,,,,,,,,,0.235951246,0.220576565,0.08347333,0.080424427,0.211707899,0.112925451,0.012442679,0.006526445
