UE idx,lambdaBS,lambdaUE_sub6,numBlockers,discoveryDelay,failureDetectionDelay,connectionSetupDelay,signalingAfterRachDelay,frameHopCount,frameDeliveryDelay,minRatereq,minRatereq_sub6,outageDuration_wo_CF_Analysis,outageDurationAnalysis,outageProbability_wo_CF_Analysis,outageProbabilityAnalysis,meanOutageDuration_wo_CF,outageProbability_wo_CF,meanOutageDuration,outageProbability
1,75,10,4000.000000,0.050000,0.000000,0.050000,0.000000,0.000000,0.000000,1000000000.000000,1000000.000000,0.1187366090042667,0.0000000000000000,0.0192401432285380,0.0000000000000000,0.0529411858823475,0.0075000013333326,0.0117647152941142,0.0016666679999995
2,75,10,4000.000000,0.050000,0.000000,0.050000,0.000000,0.000000,0.000000,1000000000.000000,1000000.000000,0.1780352269884815,0.0000000000000000,0.0466415912916073,0.0000000000000000,0.2070780447491256,0.0931851201371065,0.0112657932706915,0.0050696069718112
3,75,10,4000.000000,0.050000,0.000000,0.050000,0.000000,0.000000,0.000000,1000000000.000000,1000000.000000,0.1029698747680350,0.0000000000000000,0.0133897507891186,0.0000000000000000,0.0852351062278766,0.0191778989012722,0.0117572451347184,0.0026453801553116
4,75,10,4000.000000,0.050000,0.000000,0.050000,0.000000,0.000000,0.000000,1000000000.000000,1000000.000000,0.2692315186093932,0.2692315186093932,0.1000550542118760,0.1000550542118760,0.2079929317331116,0.1369286800576318,0.0642391767243342,0.0422907913435200
5,75,10,4000.000000,0.050000,0.000000,0.050000,0.000000,0.000000,0.000000,1000000000.000000,1000000.000000,0.2037208442448420,0.2037208442448420,0.0605666398680998,0.0605666398680998,0.1961235213954495,0.0996961233760201,0.0484065764151886,0.0246066763443875
6,75,10,4000.000000,0.050000,0.000000,0.050000,0.000000,0.000000,0.000000,1000000000.000000,1000000.000000,0.2557054375804412,0.2557054375804412,0.0915077130874692,0.0915077130874692,0.2299669255951050,0.1590604568699476,0.0230632839977905,0.0159521047651384
7,75,10,4000.000000,0.050000,0.000000,0.050000,0.000000,0.000000,0.000000,1000000000.000000,1000000.000000,0.3702992322224839,0.3702992322224840,0.1686110221583692,0.1686110221583692,0.4579946214764516,0.2900632602684193,0.1063557592310607,0.0673586475130051
8,75,10,4000.000000,0.050000,0.000000,0.050000,0.000000,0.000000,0.000000,1000000000.000000,1000000.000000,0.2416395018684932,0.2416395018684932,0.0828195028745143,0.0828195028745143,0.2355073052632939,0.1197162135088411,0.0250716042237813,0.0127447321470888
9,75,10,4000.000000,0.050000,0.000000,0.050000,0.000000,0.000000,0.000000,1000000000.000000,1000000.000000,0.2075512277180805,0.2075512277180805,0.0627287631944412,0.0627287631944412,0.1616241197765736,0.0700371185698486,0.0234169407957720,0.0101473410115012
10,75,10,4000.000000,0.050000,0.000000,0.050000,0.000000,0.000000,0.000000,1000000000.000000,1000000.000000,0.1313671207553199,0.1313671207553199,0.0244150508180238,0.0244150508180238,0.1011563859134940,0.0236031567131486,0.0142857239285693,0.0033333355833328
11,75,10,4000.000000,0.050000,0.000000,0.050000,0.000000,0.000000,0.000000,1000000000.000000,1000000.000000,0.2334498093960497,0.0000000000000000,0.0778621537069878,0.0000000000000000,0.1227952074889230,0.0644674839316846,0.0295204921253789,0.0154982583658239
