UE idx,lambdaBS,lambdaUE,numBlockers,deployRange,discoveryDelay,failureDetectionDelay,connectionSetupDelay,signalingAfterRachDelay,frameHopCount,frameDeliveryDelay,minRatereq,powerFac,lower_bound_thresh,meanOutageDuration_wo_CF,outageProbability_wo_CF,meanOutageDuration,outageProbability
1,25,1000,314,300.000000,0.020000,0.000000,0.050000,0.000000,0.000000,0.000000,400000000.000000,10.000000,0.1000000000000000,0.0700000000000000,0.0000194444444444,0.0700000000000000,0.0000194444444444
2,25,1000,314,300.000000,0.020000,0.000000,0.050000,0.000000,0.000000,0.000000,400000000.000000,10.000000,0.1000000000000000,3600.0000000000000000,1.0000000000000000,3600.0000000000000000,1.0000000000000000
3,25,1000,314,300.000000,0.020000,0.000000,0.050000,0.000000,0.000000,0.000000,400000000.000000,10.000000,0.1000000000000000,0.0700000000000000,0.0000194444444444,0.0700000000000000,0.0000194444444444
4,25,1000,314,300.000000,0.020000,0.000000,0.050000,0.000000,0.000000,0.000000,400000000.000000,10.000000,0.1000000000000000,3600.0000000000000000,1.0000000000000000,3600.0000000000000000,1.0000000000000000
5,25,1000,314,300.000000,0.020000,0.000000,0.050000,0.000000,0.000000,0.000000,400000000.000000,10.000000,0.1000000000000000,3600.0000000000000000,1.0000000000000000,3600.0000000000000000,1.0000000000000000
6,25,1000,314,300.000000,0.020000,0.000000,0.050000,0.000000,0.000000,0.000000,400000000.000000,10.000000,0.1000000000000000,0.0700000000000000,0.0000194444444444,0.0700000000000000,0.0000194444444444
7,25,1000,314,300.000000,0.020000,0.000000,0.050000,0.000000,0.000000,0.000000,400000000.000000,10.000000,0.1000000000000000,0.0700000000000000,0.0000194444444444,0.0700000000000000,0.0000194444444444
8,25,1000,314,300.000000,0.020000,0.000000,0.050000,0.000000,0.000000,0.000000,400000000.000000,10.000000,0.1000000000000000,3600.0000000000000000,1.0000000000000000,3600.0000000000000000,1.0000000000000000
9,25,1000,314,300.000000,0.020000,0.000000,0.050000,0.000000,0.000000,0.000000,400000000.000000,10.000000,0.1000000000000000,0.0700000000000000,0.0000194444444444,0.0700000000000000,0.0000194444444444
10,25,1000,314,300.000000,0.020000,0.000000,0.050000,0.000000,0.000000,0.000000,400000000.000000,10.000000,0.1000000000000000,0.0700000000000000,0.0000194444444444,0.0700000000000000,0.0000194444444444
11,25,1000,314,300.000000,0.020000,0.000000,0.050000,0.000000,0.000000,0.000000,400000000.000000,10.000000,0.1000000000000000,0.0700000000000000,0.0000194444444444,0.0700000000000000,0.0000194444444444
12,25,1000,314,300.000000,0.020000,0.000000,0.050000,0.000000,0.000000,0.000000,400000000.000000,10.000000,0.1000000000000000,0.0700000000000000,0.0000194444444444,0.0700000000000000,0.0000194444444444
13,25,1000,314,300.000000,0.020000,0.000000,0.050000,0.000000,0.000000,0.000000,400000000.000000,10.000000,0.1000000000000000,3600.0000000000000000,1.0000000000000000,3600.0000000000000000,1.0000000000000000
14,25,1000,314,300.000000,0.020000,0.000000,0.050000,0.000000,0.000000,0.000000,400000000.000000,10.000000,0.1000000000000000,3600.0000000000000000,1.0000000000000000,3600.0000000000000000,1.0000000000000000
15,25,1000,314,300.000000,0.020000,0.000000,0.050000,0.000000,0.000000,0.000000,400000000.000000,10.000000,0.1000000000000000,0.0700000000000000,0.0000194444444444,0.0700000000000000,0.0000194444444444
16,25,1000,314,300.000000,0.020000,0.000000,0.050000,0.000000,0.000000,0.000000,400000000.000000,10.000000,0.1000000000000000,0.0700000000000000,0.0000194444444444,0.0700000000000000,0.0000194444444444
17,25,1000,314,300.000000,0.020000,0.000000,0.050000,0.000000,0.000000,0.000000,400000000.000000,10.000000,0.1000000000000000,0.0700000000000000,0.0000194444444444,0.0700000000000000,0.0000194444444444
18,25,1000,314,300.000000,0.020000,0.000000,0.050000,0.000000,0.000000,0.000000,400000000.000000,10.000000,0.1000000000000000,0.0700000000000000,0.0000194444444444,0.0700000000000000,0.0000194444444444
19,25,1000,314,300.000000,0.020000,0.000000,0.050000,0.000000,0.000000,0.000000,400000000.000000,10.000000,0.1000000000000000,3600.0000000000000000,1.0000000000000000,3600.0000000000000000,1.0000000000000000
20,25,1000,314,300.000000,0.020000,0.000000,0.050000,0.000000,0.000000,0.000000,400000000.000000,10.000000,0.1000000000000000,3600.0000000000000000,1.0000000000000000,3600.0000000000000000,1.0000000000000000
