UE idx,lambdaBS,lambdaUE_sub6,numBlockers,discoveryDelay,failureDetectionDelay,connectionSetupDelay,signalingAfterRachDelay,frameHopCount,frameDeliveryDelay,minRatereq,minRatereq_sub6,outageDuration_wo_CF_Analysis,outageDurationAnalysis,outageProbability_wo_CF_Analysis,outageProbabilityAnalysis,meanOutageDuration_wo_CF,outageProbability_wo_CF,meanOutageDuration,outageProbability
1,100,10,400,0.05,0,0.05,0,0,0,1000000000,10000000,0,0,0,0,0.058333342,0.002916667,0.016666675,0.000833334
2,100,10,400,0.05,0,0.05,0,0,0,1000000000,10000000,0,0,0,0,0.154327269,0.010288485,0.031250009,0.002083334
3,100,10,400,0.05,0,0.05,0,0,0,1000000000,10000000,0,0,0,0,0.083262765,0.00763242,0.018181827,0.001666668
4,100,10,400,0.05,0,0.05,0,0,0,1000000000,10000000,0,0,0,0,0.075984438,0.005698833,0.01111112,0.000833334
5,100,10,400,0.05,0,0.05,0,0,0,1000000000,10000000,0,0,0,0,0.06974629,0.011624382,0.005000009,0.000833335
6,100,10,400,0.05,0,0.05,0,0,0,1000000000,10000000,0,0,0,0,0.078971985,0.012503898,0.005263167,0.000833335
7,100,10,400,0.05,0,0.05,0,0,0,1000000000,10000000,0,0,0,0,0.1,0.000833333,0.1,0.000833333
8,100,10,400,0.05,0,0.05,0,0,0,1000000000,10000000,0,0,0,0,0.062500007,0.002083334,0.037500007,0.00125
9,100,10,400,0.05,0,0.05,0,0,0,1000000000,10000000,0,0,0,0,0.058333342,0.002916667,0.016666675,0.000833334
10,100,10,400,0.05,0,0.05,0,0,0,1000000000,10000000,0,0,0,0,0.216997085,0.010849854,0.016666675,0.000833334
11,100,10,400,0.05,0,0.05,0,0,0,1000000000,10000000,0,0,0,0,0.066666673,0.001666667,0.03333334,0.000833333
12,100,10,400,0.05,0,0.05,0,0,0,1000000000,10000000,0,0,0,0,0.077522842,0.009690355,0.040856176,0.005107022
13,100,10,400,0.05,0,0.05,0,0,0,1000000000,10000000,0,0,0,0,0.1,0.000833333,0.1,0.000833333
14,100,10,400,0.05,0,0.05,0,0,0,1000000000,10000000,0,0,0,0,0.054166676,0.005416668,0.008333342,0.000833334
15,100,10,400,0.05,0,0.05,0,0,0,1000000000,10000000,0,0,0,0,0.127889367,0.009591703,0.01111112,0.000833334
16,100,10,400,0.05,0,0.05,0,0,0,1000000000,10000000,0,0,0,0,0.060000008,0.0025,0.040000008,0.001666667
17,100,10,400,0.05,0,0.05,0,0,0,1000000000,10000000,0,0,0,0,0.060000008,0.0025,0.030000008,0.00125
18,100,10,400,0.05,0,0.05,0,0,0,1000000000,10000000,0,0,0,0,0.062500007,0.002083334,0.050000007,0.001666667
19,100,10,400,0.05,0,0.05,0,0,0,1000000000,10000000,0,0,0,0,0.061422407,0.009213361,0.008333343,0.001250001
20,100,10,400,0.05,0,0.05,0,0,0,1000000000,10000000,0,0,0,0,0.070475165,0.00587293,0.015000009,0.001250001
21,100,10,400,0.05,0,0.05,0,0,0,1000000000,10000000,0,0,0,0,0.066666673,0.001666667,0.066666673,0.001666667
22,100,10,400,0.05,0,0.05,0,0,0,1000000000,10000000,0,0,0,0,0.132623086,0.013262309,0.058265876,0.005826588
23,100,10,400,0.05,0,0.05,0,0,0,1000000000,10000000,0,0,0,0,0.129864155,0.015150818,0.015462082,0.00180391
24,100,10,400,0.05,0,0.05,0,0,0,1000000000,10000000,0,0,0,0,0.109670844,0.010053161,0.009090918,0.000833334
25,100,10,400,0.05,0,0.05,0,0,0,1000000000,10000000,0,0,0,0,0.058333342,0.002916667,0.016666675,0.000833334
26,100,10,400,0.05,0,0.05,0,0,0,1000000000,10000000,0,0,0,0,0.1,0.000833333,0.1,0.000833333
,,,,,,,,,,,,,,,,0.088317607,0.006176891,0.033131759,0.001467469
