UE idx,lambdaBS,lambdaUE,numBlockers,deployRange,discoveryDelay,failureDetectionDelay,connectionSetupDelay,signalingAfterRachDelay,frameHopCount,frameDeliveryDelay,minRatereq,powerFac,lower_bound_thresh,meanOutageDuration_wo_CF,outageProbability_wo_CF,meanOutageDuration,outageProbability
1,25,100,314,400.000000,0.020000,0.000000,0.050000,0.000000,0.000000,0.000000,400000000.000000,10.000000,0.1000000000000000,0.0607840079714893,0.0019755431690070,0.0000000000000000,0.0000000000000000
2,25,100,314,400.000000,0.020000,0.000000,0.050000,0.000000,0.000000,0.000000,400000000.000000,10.000000,0.1000000000000000,0.0711981248947742,0.0044009245846254,0.0000000000000000,0.0000000000000000
3,25,100,314,400.000000,0.020000,0.000000,0.050000,0.000000,0.000000,0.000000,400000000.000000,10.000000,0.1000000000000000,0.0621882075887732,0.0022741140619585,0.0000000000000000,0.0000000000000000
