UE idx,lambdaBS,lambdaUE,numBlockers,deployRange,discoveryDelay,failureDetectionDelay,connectionSetupDelay,signalingAfterRachDelay,frameHopCount,frameDeliveryDelay,minRatereq,powerFac,lower_bound_thresh,meanOutageDuration_wo_CF,outageProbability_wo_CF,meanOutageDuration,outageProbability
1,25,250,314,400.000000,0.020000,0.000000,0.050000,0.000000,0.000000,0.000000,400000000.000000,10.000000,0.1000000000000000,0.5842317757025751,0.0136033951673209,0.5842317757025751,0.0136033951673209
2,25,250,314,400.000000,0.020000,0.000000,0.050000,0.000000,0.000000,0.000000,400000000.000000,10.000000,0.1000000000000000,0.5932490926177341,0.0222146389382752,0.5932490926177341,0.0222146389382752
3,25,250,314,400.000000,0.020000,0.000000,0.050000,0.000000,0.000000,0.000000,400000000.000000,10.000000,0.1000000000000000,0.5865202215015770,0.0157893770074900,0.5865202215015770,0.0157893770074900
4,25,250,314,400.000000,0.020000,0.000000,0.050000,0.000000,0.000000,0.000000,400000000.000000,10.000000,0.1000000000000000,0.6056283298322465,0.0340260852674715,0.6056283298322465,0.0340260852674715
5,25,250,314,400.000000,0.020000,0.000000,0.050000,0.000000,0.000000,0.000000,400000000.000000,10.000000,0.1000000000000000,0.6069515432242880,0.0352878877430882,0.6069515432242880,0.0352878877430882
6,25,250,314,400.000000,0.020000,0.000000,0.050000,0.000000,0.000000,0.000000,400000000.000000,10.000000,0.1000000000000000,0.5942444691983116,0.0231648063939232,0.5942444691983116,0.0231648063939232
7,25,250,314,400.000000,0.020000,0.000000,0.050000,0.000000,0.000000,0.000000,400000000.000000,10.000000,0.1000000000000000,0.5933365152612987,0.0222980940097449,0.5933365152612987,0.0222980940097449
